name;searched;gender;origem;significado
Abade;0.0;M;;
Abadi;0.0;M;;
Abadia;0.0;F;;
Abadias;0.0;M;;
Abadil;0.0;M;;
Abadio;0.0;M;;
Abd;0.0;M;;
Abda;0.0;F;;
Abdala;0.0;M;;
Abdalla;0.0;M;;
Abdao;0.0;M;;
Abdenago;0.0;M;;
Abdenego;0.0;M;;
Abdenico;0.0;M;;
Abdenigo;0.0;M;;
Abdenio;0.0;M;;
Abdenor;0.0;M;;
Abder;0.0;M;;
Abderman;0.0;M;;
Abdi;0.0;M;;
Abdia;0.0;M;;
Abdias;0.0;M;;
Abdiel;0.0;M;;
Abdisio;0.0;M;;
Abdnego;0.0;M;;
Abdo;0.0;M;;
Abdon;0.0;M;;
Abdoral;0.0;M;;
Abdu;0.0;M;;
Abedenego;0.0;M;;
Abedias;0.0;M;;
Abednego;0.0;M;;
Abedon;0.0;M;;
Abegail;0.0;F;;
Abel;0.0;M;Hebraica;"Abel: Significa “névoa”, “sopro”, “vapor”, “respiração”, “frágil”, “efêmero”, “filho”.Com referências bíblicas e uma sonoridade delicada, o nome masculino Abel tem origem a partir do hebraico Hébhel, palavra que apresenta os significados de “névoa” ou “vapor”. Por extensão, ele também apresenta os significados de “sopro”, “respiração”, “frágil” e “efêmero”. Algumas fontes sugerem ainda que o nome Abel surgiu a partir da palavra ibila, de origem assíria ou sumérica. A partir desta origem, este nome teria ainda o significado de “filho”.O nome Abel na BíbliaAbel é o nome de um importante personagem presente no Antigo Testamento da Bíblia Sagrada. Este personagem seria o segundo filho de Adão e Eva. Ele foi assassinado por seu irmão Caim pelo fato de ter ficado com inveja porque Abel agradou mais o Senhor.""Com o auxílio do Senhor tive um filho ho­mem"".Voltou a dar à luz, desta vez a Abel, irmão dele.Abel tornou-se pastor de ovelhas, e Caim, agricultor.Gênesis 4Popularidade do nome Abel Muito popular entre os cristãos do século XIII, o nome Abel foi adotado na Inglaterra durante a Idade Média, tornando-se muito popular na era puritana.Este nome apareceu em Portugal no Almanaque Estatístico de Lisboa de 1838. Até hoje, o nome Abel é ainda mais popular em Portugal do que no Brasil. Em nosso país, este nome teve a maior taxa de registros na década de 1980. Atualmente, o nome Abel pode ser encontrado com maior quantidade de registros em países como o México, Moçambique, Nigéria, Tanzânia e Angola. Uma das personalidades mais populares com este nome atualmente é o cantor e produtor musical canadense Abel Makkonen Tesfaye, mais conhecido pelo seu nome artístico The Weeknd."
Abelard;0.0;M;;
Abelarda;0.0;F;;
Abelardo;0.0;M;Francesa;Abelardo: Significa “criador de abelhas”.Tem origem no nome francês Abélard, a partir do antigo Abeillard, de abeille, que quer dizer “criador de abelhas”.Na França medieval foram encontrados outros nomes, como Abeille, Abeillon, Abeiller, com o mesmo significado de Abeillard, dado aos criadores de abelhas.Foi nome do apresentador e radialista brasileiro José Abelardo Barbosa de Medeiros, mais conhecido como Chacrinha, que fez muito sucesso entre as décadas de 1950 e 1980.
Abenaias;0.0;M;;
Abener;0.0;M;;
Abenone;0.0;M;;
Aberlado;0.0;M;;
Aberlardo;0.0;M;;
Abeu;0.0;M;;
Abgail;0.0;F;Hebraica;Abgail: Variação do nome Abigail. Significa “alegria de meu pai”, ou possivelmente “aquela cujo pai é alegria”.Tem origem no hebraico Abhigáyil, composto pelos elementos abh, que significa “pai” e gil, que quer dizer “regozijar-se”.Personagem bíblica citada no Antigo Testamento nos livros de 1 Samuel e 2 Samuel, Abigail foi uma das esposas do rei David.No livro de 1 Crônicas é também revelado que uma das irmãs de David também se chamava Abigail.No século XVII, o nome Abigail chegou a ser utilizado como gíria para designar um servo, em virtude da personagem característica da peça muito famosa escrita por Francis Beaumont e John Fletcher.
