,name,origem,significado
0,Abel,Hebraica,"Abel: Significa “névoa”, “sopro”, “vapor”, “respiração”, “frágil”, “efêmero”, “filho”.Com referências bíblicas e uma sonoridade delicada, o nome masculino Abel tem origem a partir do hebraico Hébhel, palavra que apresenta os significados de “névoa” ou “vapor”. Por extensão, ele também apresenta os significados de “sopro”, “respiração”, “frágil” e “efêmero”. Algumas fontes sugerem ainda que o nome Abel surgiu a partir da palavra ibila, de origem assíria ou sumérica. A partir desta origem, este nome teria ainda o significado de “filho”.O nome Abel na BíbliaAbel é o nome de um importante personagem presente no Antigo Testamento da Bíblia Sagrada. Este personagem seria o segundo filho de Adão e Eva. Ele foi assassinado por seu irmão Caim pelo fato de ter ficado com inveja porque Abel agradou mais o Senhor.""Com o auxílio do Senhor tive um filho ho­mem"".Voltou a dar à luz, desta vez a Abel, irmão dele.Abel tornou-se pastor de ovelhas, e Caim, agricultor.Gênesis 4Popularidade do nome Abel Muito popular entre os cristãos do século XIII, o nome Abel foi adotado na Inglaterra durante a Idade Média, tornando-se muito popular na era puritana.Este nome apareceu em Portugal no Almanaque Estatístico de Lisboa de 1838. Até hoje, o nome Abel é ainda mais popular em Portugal do que no Brasil. Em nosso país, este nome teve a maior taxa de registros na década de 1980. Atualmente, o nome Abel pode ser encontrado com maior quantidade de registros em países como o México, Moçambique, Nigéria, Tanzânia e Angola. Uma das personalidades mais populares com este nome atualmente é o cantor e produtor musical canadense Abel Makkonen Tesfaye, mais conhecido pelo seu nome artístico The Weeknd."
1,Abelardo,Francesa,"Abelardo: Significa “criador de abelhas”.Tem origem no nome francês Abélard, a partir do antigo Abeillard, de abeille, que quer dizer “criador de abelhas”.Na França medieval foram encontrados outros nomes, como Abeille, Abeillon, Abeiller, com o mesmo significado de Abeillard, dado aos criadores de abelhas.Foi nome do apresentador e radialista brasileiro José Abelardo Barbosa de Medeiros, mais conhecido como Chacrinha, que fez muito sucesso entre as décadas de 1950 e 1980."
2,Abgail,Hebraica,"Abgail: Variação do nome Abigail. Significa “alegria de meu pai”, ou possivelmente “aquela cujo pai é alegria”.Tem origem no hebraico Abhigáyil, composto pelos elementos abh, que significa “pai” e gil, que quer dizer “regozijar-se”.Personagem bíblica citada no Antigo Testamento nos livros de 1 Samuel e 2 Samuel, Abigail foi uma das esposas do rei David.No livro de 1 Crônicas é também revelado que uma das irmãs de David também se chamava Abigail.No século XVII, o nome Abigail chegou a ser utilizado como gíria para designar um servo, em virtude da personagem característica da peça muito famosa escrita por Francis Beaumont e John Fletcher."
3,Abias,Hebraica,"Abias: Significa ""meu pai é Jeová"", ""meu pai é Deus"". Esse nome tem origem a partir do hebraico Abijah, que significa ""meu pai é Jeová"", ""meu pai é Deus"". Esse nome se refere ao personagem bíblico, também chamado de Abijam, filho de Roboão, neto de Salomão e que foi o segundo rei de Judá. ""Os demais acontecimentos do reinado de Abias e todas as suas realizações estão escritos nos registros históricos dos reis de Judá. Também houve guerra entre Abias e Jeroboão."" (1 Reis 15:7)"
4,Abigail,Hebraica,"Abigail: Significa “alegria de meu pai”, ou possivelmente “aquela cujo pai é alegria”.Tem origem no hebraico Abhigáyil, composto pelos elementos abh, que significa “pai” e gil, que quer dizer “regozijar-se”.Personagem bíblica citada no Antigo Testamento nos livros de 1 Samuel e 2 Samuel, Abigail foi uma das esposas do rei David.No livro de 1 Crônicas é também revelado que uma das irmãs de David também se chamava Abigail.No século XVII, o nome Abigail chegou a ser utilizado como gíria para designar um servo, em virtude da personagem característica da peça muito famosa escrita por Francis Beaumont e John Fletcher."
5,Abilio,Latina,"Abílio: Significa “aquele que não é vingativo” ou “criador de abelhas”.Há quem acredite que Abílio tenha sido originado no latim Abiliu, que quer dizer “aquele que não é vingativo”.Provavelmente a partir da união da partícula de negação a com bilis, is, que significa “mau humor, cólera, indignação”.Alguns autores o relacionam com Abelardo, que deriva do francês abeille, que significa “criador de abelhas”."
6,Abimael,Hebraica,"Abimael: significa ""Deus é meu pai"", ""Deus é todo poderoso"", ""meu pai é o senhor"", ""de quem Deus é pai"".Abimael é um nome de origem religiosa e deriva do hebraico Avima´el ou Abiyma´el.Trata-se de um personagem bíblico, encontrado em Gênesis. Abimael seria o filho de Joetã e bisneto de Sem. Seus irmãos foram Obal e Sabá.O nome no BrasilAbimael é um nome raro no Brasil. Há apenas 7.510 ocorrências do nome no país fazendo com que ele ocupe o 2.047º lugar no ranking de popularidade segundo apurado pelo IBGE no Censo 2010.São Paulo é o Estado com a maior concentração do nome (são 1.194 aparições) seguido da Bahia, com 846 ocorrências. O maior número de pessoas com o nome Abimael foi registrado nos anos 1990, foram 1.885 cadastros feitos naquela década.  Variantes gráficas:Abimail, Abimal, Abimel, Abymael.Personalidades famosas:Abimael Gusmán, articulador político peruano.Abimael Paixão Bomfim, jogador de futebol brasileiro."
7,Abner,Hebraica,"Abner: Significa “o (divino) pai é luz”, ""meu pai é uma luz"", ""pai da luz"", “pai iluminado”.O belo nome masculino Abner tem origem hebraica e bíblica e apresenta significados brilhantes. Ele surgiu a partir do nome Abiner, que é o resultado da junção dos elementos ab, que significa ""pai"", e hiner, que quer dizer ""luz"". Dessa forma, o nome Abner ganha os significados de: ""meu pai é uma luz"", ""pai da luz"", “pai iluminado”.Trata-se de um bonito nome masculino que carrega consigo a simbologia da luz. Além disso, reflete uma aproximação com o divino, pois reconhece Deus como um pai iluminado e cheio de sabedoria.Popularidade do nome Abner O nome Abner se tornou popular na Reforma Protestante e faz referência a um personagem bíblico, que aparece no Antigo Testamento da Escritura Sagrada.Abner era primo do rei Saul e desempenhou a função de comandante do exército.""Quando Saul viu Davi avançando para enfrentar o filisteu, perguntou a Abner, o comandante do exército: ""Abner, quem é o pai daquele rapaz?"" Abner respondeu: ""Juro por tua vida, ó rei, que eu não sei""."" (1 Samuel 17:55)Atualmente, o nome Abner pode ser encontrado com maior quantidade de registros em países como o Brasil, a Guatemala, as Filipinas e em Israel."
8,Abraao,Hebraica,"Abraão: Significa ""pai de uma multidão"" ou ""pai de muitos"".A origem do nome Abraão é hebraica, do nome Abraham, formado pelas palavras abram, que significa ""pai elevado"" e a palavra ""hamon"", que significa ""muitos, multidão"".A história de Abraão pode ser lida na Bíblia, no livro de Gênesis. Inicialmente chamado Abrão, Deus posteriormente mudou o nome dele para Abraão.Abraão é visto como o patriarca de três das grandes religiões mundiais, o cristianismo, o islamismo e o judaísmo."
9,Abreu,Portuguesa,"Abreu: significa ""aquele que é grato"", ""doador"", ""generoso"".É um sobrenome muito tradicional em Portugal e tem origem toponímica porque deriva da terra de Abreu (atual vila da freguesia de S.Pedro de Merufe). Abreu, no Brasil, também é usado como primeiro nome.Especula-se que o sobrenome Abreu tenha surgido ainda no século XII, sendo uma família de nobre linhagem com relações estreitas com o rei. Um dos primeiros registros que se tem notícia é o do nobre Lourenço Gomes de Abreu, que teria nascido em Portugal em 1290.O nome teria se espalhado gradualmente por todo o território português. Mais tarde veio a alcançar a Espanha e depois cruzou o oceano até chegar ao Brasil através dos imigrantes lusitanos. Alguns estudiosos acreditam que é possível que o sobrenome Abreu possa ter surgido do alemão “Avredo”.O nome no BrasilHá no Brasil atualmente 289 pessoas que carregam Abreu como primeiro nome. Abreu como primeiro nome é, portanto, muito raro, ocupando o lugar número 20.071º no ranking de popularidade.A maior concentração do nome encontra-se em São Paulo (44 ocorrências) e no Rio de Janeiro (35 registros).  Variantes gráficas:AbreoPersonalidades famosas:Caio Fernando Abreu, escritor brasileiro.Casimiro de Abreu, escritor brasileiro.Cláudia Abreu, atriz brasileira.Luciana Abreu, cantora brasileira."
